fr_id:START_ID	to_id:END_ID	fr_val:string	to_val:string	type:TYPE	val:int
253	2236	2570	2. l. de raedt	RID_REF	1
643	2005	6550	23 . k. marriott	RID_REF	1
229	1463	2330	3. francoise darses	RID_REF	1
1	1161	10	a aamodt	RID_REF	1
828	2246	8480	a ram	RID_REF	1
1	1162	10	a. aamodt	RID_REF	9
27	1195	270	a. angern	RID_REF	1
51	1231	520	a. b. baker	RID_REF	1
790	2199	8070	a. b. philips	RID_REF	2
48	1227	490	a. baddeley	RID_REF	2
62	1248	630	a. barto	RID_REF	2
98	1291	990	a. blake	RID_REF	3
107	1302	1080	a. borgida	RID_REF	2
108	1304	1090	a. borning	RID_REF	1
129	1333	1310	a. brink	RID_REF	1
174	1389	1770	a. chien	RID_REF	1
243	1478	2470	a. delcher	RID_REF	1
1004	2477	10260	a. et al. takeuchi	RID_REF	1
303	1554	3100	a. farquhar	RID_REF	2
321	1578	3280	a. fournier	RID_REF	1
62	1251	630	a. g barto	RID_REF	1
62	1250	630	a. g. barto	RID_REF	4
196	1418	1990	a. g. cohn	RID_REF	3
529	1833	5390	a. h. klopf	RID_REF	2
430	1707	4380	a. heydon	RID_REF	1
475	1759	4830	a. jain	RID_REF	1
738	2126	7540	a. jefferson offutt	RID_REF	1
625	1973	6360	a. k. mackworth	RID_REF	3
513	1815	5230	a. kelly	RID_REF	1
2	1163	20	a. l. abbott	RID_REF	1
563	1881	5730	a. lanitis	RID_REF	1
564	1883	5740	a. lansky	RID_REF	2
1085	2585	11100	a. m. waxman	RID_REF	1
622	1969	6330	a. macdonald	RID_REF	1
640	2000	6520	a. marcus	RID_REF	1
671	2039	6840	a. meisels	RID_REF	1
672	2040	6850	a. mendelzon	RID_REF	1
697	2080	7110	a. moore	RID_REF	2
716	2101	7320	a. nayeem	RID_REF	1
740	2129	7560	a. ohare	RID_REF	2
761	2153	7770	a. palmer	RID_REF	1
779	2186	7960	a. pentland	RID_REF	4
790	2200	8070	a. philips	RID_REF	1
810	2225	8270	a. prince	RID_REF	3
367	1637	3750	a. r. golding	RID_REF	2
822	2240	8420	a. rajput	RID_REF	1
828	2247	8480	a. ram	RID_REF	3
834	2255	8540	a. rauzy	RID_REF	3
392	1664	4000	a. s. gunawan	RID_REF	1
810	2226	8270	a. s. prince	RID_REF	1
831	2251	8510	a. s. rao	RID_REF	1
1006	2479	10280	a. s. tanenbaum	RID_REF	1
1090	2590	11150	a. s. weigend	RID_REF	1
889	2322	9110	a. sassano	RID_REF	1
911	2353	9330	a. schwartz	RID_REF	7
951	2412	9740	a. skjellum	RID_REF	1
954	2415	9770	a. sloman	RID_REF	2
956	2418	9790	a. smith	RID_REF	1
994	2464	10160	a. supalov.	RID_REF	1
1020	2500	10430	a. tits	RID_REF	3
1035	2518	10590	a. tversky	RID_REF	1
324	1582	3310	a. u frank	RID_REF	1
324	1581	3310	a. u. frank	RID_REF	2
381	1651	3890	a. v. groenink	RID_REF	1
1051	2540	10750	a. varshney	RID_REF	1
1057	2546	10810	a. verri	RID_REF	1
697	2078	7110	a. w. moore	RID_REF	23
